"model_time",".strategy_names","value_names","value","country_sex_year"
1,"base","benefit",32293195.1731574,"Afghanistan_Male_17"
2,"base","benefit",32263072.0427659,"Afghanistan_Male_17"
3,"base","benefit",32232621.3700103,"Afghanistan_Male_17"
4,"base","benefit",32202075.2344274,"Afghanistan_Male_17"
5,"base","benefit",32171563.6555614,"Afghanistan_Male_17"
6,"base","benefit",32141157.6873175,"Afghanistan_Male_17"
7,"base","benefit",32110894.5533234,"Afghanistan_Male_17"
8,"base","benefit",32080792.2669723,"Afghanistan_Male_17"
9,"base","benefit",32050858.1022091,"Afghanistan_Male_17"
10,"base","benefit",32021093.4743963,"Afghanistan_Male_17"
11,"base","benefit",31991496.7302872,"Afghanistan_Male_17"
12,"base","benefit",31962064.7241398,"Afghanistan_Male_17"
13,"base","benefit",31002712.3226526,"Afghanistan_Male_17"
14,"base","benefit",30974446.3351399,"Afghanistan_Male_17"
15,"base","benefit",30946329.1356567,"Afghanistan_Male_17"
16,"base","benefit",30918357.2269865,"Afghanistan_Male_17"
17,"base","benefit",30890527.3589755,"Afghanistan_Male_17"
18,"base","benefit",30862836.5345,"Afghanistan_Male_17"
19,"base","benefit",30835281.9972384,"Afghanistan_Male_17"
20,"base","benefit",30807861.2113531,"Afghanistan_Male_17"
21,"base","benefit",30780571.8385578,"Afghanistan_Male_17"
22,"base","benefit",30753411.7154114,"Afghanistan_Male_17"
23,"base","benefit",30726378.8322038,"Afghanistan_Male_17"
24,"base","benefit",30699471.3139887,"Afghanistan_Male_17"
25,"base","benefit",29779308.159113,"Afghanistan_Male_17"
26,"base","benefit",29753422.7655943,"Afghanistan_Male_17"
27,"base","benefit",29727654.2579488,"Afghanistan_Male_17"
28,"base","benefit",29702001.197239,"Afghanistan_Male_17"
29,"base","benefit",29676462.2134294,"Afghanistan_Male_17"
30,"base","benefit",29651035.997681,"Afghanistan_Male_17"
31,"base","benefit",29625721.2957386,"Afghanistan_Male_17"
32,"base","benefit",29600516.9022524,"Afghanistan_Male_17"
33,"base","benefit",29575421.6558921,"Afghanistan_Male_17"
34,"base","benefit",29550434.4351359,"Afghanistan_Male_17"
35,"base","benefit",29525554.1546326,"Afghanistan_Male_17"
36,"base","benefit",29500779.7620501,"Afghanistan_Male_17"
37,"base","benefit",28476754.1047227,"Afghanistan_Male_17"
38,"base","benefit",28492796.3768301,"Afghanistan_Male_17"
39,"base","benefit",28504855.9266738,"Afghanistan_Male_17"
40,"base","benefit",28513803.4601071,"Afghanistan_Male_17"
41,"base","benefit",28520299.9740213,"Afghanistan_Male_17"
42,"base","benefit",28524852.6065969,"Afghanistan_Male_17"
43,"base","benefit",28527853.7651023,"Afghanistan_Male_17"
44,"base","benefit",28529609.1317865,"Afghanistan_Male_17"
45,"base","benefit",28530358.1037791,"Afghanistan_Male_17"
46,"base","benefit",28530288.9674678,"Afghanistan_Male_17"
47,"base","benefit",28529550.3270904,"Afghanistan_Male_17"
48,"base","benefit",28528259.8142355,"Afghanistan_Male_17"
49,"base","benefit",27695641.5416752,"Afghanistan_Male_17"
50,"base","benefit",27693570.4144854,"Afghanistan_Male_17"
51,"base","benefit",27691183.7634165,"Afghanistan_Male_17"
52,"base","benefit",27688527.5871291,"Afghanistan_Male_17"
53,"base","benefit",27685638.7777712,"Afghanistan_Male_17"
54,"base","benefit",27682547.0210854,"Afghanistan_Male_17"
55,"base","benefit",27679276.2943597,"Afghanistan_Male_17"
56,"base","benefit",27675846.0487874,"Afghanistan_Male_17"
57,"base","benefit",27672272.1435451,"Afghanistan_Male_17"
58,"base","benefit",27668567.5841845,"Afghanistan_Male_17"
59,"base","benefit",27664743.1065993,"Afghanistan_Male_17"
60,"base","benefit",27660807.6390205,"Afghanistan_Male_17"
61,"base","benefit",26851231.7161327,"Afghanistan_Male_17"
62,"base","benefit",26847216.0445537,"Afghanistan_Male_17"
63,"base","benefit",26843111.285259,"Afghanistan_Male_17"
64,"base","benefit",26838921.9702268,"Afghanistan_Male_17"
65,"base","benefit",26834652.0506314,"Afghanistan_Male_17"
66,"base","benefit",26830305.0075366,"Afghanistan_Male_17"
67,"base","benefit",26825883.9397168,"Afghanistan_Male_17"
68,"base","benefit",26821391.6333936,"Afghanistan_Male_17"
69,"base","benefit",26816830.6176752,"Afghanistan_Male_17"
70,"base","benefit",26812203.2086907,"Afghanistan_Male_17"
71,"base","benefit",26807511.5447871,"Afghanistan_Male_17"
72,"base","benefit",26802757.6146576,"Afghanistan_Male_17"
73,"base","benefit",26017420.6600766,"Afghanistan_Male_17"
74,"base","benefit",26012689.6048771,"Afghanistan_Male_17"
75,"base","benefit",26007903.2157961,"Afghanistan_Male_17"
76,"base","benefit",26003063.0225598,"Afghanistan_Male_17"
77,"base","benefit",25998170.4840912,"Afghanistan_Male_17"
78,"base","benefit",25993226.9961648,"Afghanistan_Male_17"
79,"base","benefit",25988233.8977116,"Afghanistan_Male_17"
80,"base","benefit",25983192.4760492,"Afghanistan_Male_17"
81,"base","benefit",25978103.9712528,"Afghanistan_Male_17"
82,"base","benefit",25972969.5798389,"Afghanistan_Male_17"
83,"base","benefit",25967790.4578965,"Afghanistan_Male_17"
84,"base","benefit",25962567.7237732,"Afghanistan_Male_17"
85,"base","benefit",25201264.5246604,"Afghanistan_Male_17"
86,"base","benefit",25196112.3469172,"Afghanistan_Male_17"
87,"base","benefit",25190920.8859242,"Afghanistan_Male_17"
88,"base","benefit",25185691.1008633,"Afghanistan_Male_17"
89,"base","benefit",25180423.9231815,"Afghanistan_Male_17"
90,"base","benefit",25175120.2578472,"Afghanistan_Male_17"
91,"base","benefit",25169780.9844947,"Afghanistan_Male_17"
92,"base","benefit",25164406.9584745,"Afghanistan_Male_17"
93,"base","benefit",25158999.011822,"Afghanistan_Male_17"
94,"base","benefit",25153557.954157,"Afghanistan_Male_17"
95,"base","benefit",25148084.5735221,"Afghanistan_Male_17"
96,"base","benefit",25142579.637168,"Afghanistan_Male_17"
97,"base","benefit",30296870.0463324,"Afghanistan_Male_17"
98,"base","benefit",30289811.7223311,"Afghanistan_Male_17"
99,"base","benefit",30282718.2897442,"Afghanistan_Male_17"
100,"base","benefit",30275589.6579586,"Afghanistan_Male_17"
101,"base","benefit",30268425.9062077,"Afghanistan_Male_17"
102,"base","benefit",30261227.2439247,"Afghanistan_Male_17"
103,"base","benefit",30253993.9812731,"Afghanistan_Male_17"
104,"base","benefit",30246726.5066987,"Afghanistan_Male_17"
105,"base","benefit",30239425.269479,"Afghanistan_Male_17"
106,"base","benefit",30232090.765936,"Afghanistan_Male_17"
107,"base","benefit",30224723.5284082,"Afghanistan_Male_17"
108,"base","benefit",30217324.1163508,"Afghanistan_Male_17"
109,"base","benefit",29329993.3098149,"Afghanistan_Male_17"
110,"base","benefit",29322748.6408058,"Afghanistan_Male_17"
111,"base","benefit",29315474.457911,"Afghanistan_Male_17"
112,"base","benefit",29308171.3512232,"Afghanistan_Male_17"
113,"base","benefit",29300839.9128268,"Afghanistan_Male_17"
114,"base","benefit",29293480.7342604,"Afghanistan_Male_17"
115,"base","benefit",29286094.4044573,"Afghanistan_Male_17"
116,"base","benefit",29278681.5080817,"Afghanistan_Male_17"
