"model_time",".strategy_names","value_names","value","country_sex_year"
1,"base","dalys",35033.4300030689,"Afghanistan_Male_17"
2,"base","dalys",35174.545087838,"Afghanistan_Male_17"
3,"base","dalys",35322.4404016231,"Afghanistan_Male_17"
4,"base","dalys",35474.7282967604,"Afghanistan_Male_17"
5,"base","dalys",35629.9356910928,"Afghanistan_Male_17"
6,"base","dalys",35787.1328524452,"Afghanistan_Male_17"
7,"base","dalys",35945.7152911827,"Afghanistan_Male_17"
8,"base","dalys",36105.2754390516,"Afghanistan_Male_17"
9,"base","dalys",36265.5269683083,"Afghanistan_Male_17"
10,"base","dalys",36426.2599699459,"Afghanistan_Male_17"
11,"base","dalys",36587.3142257647,"Afghanistan_Male_17"
12,"base","dalys",36748.5630973002,"Afghanistan_Male_17"
13,"base","dalys",35834.857917299,"Afghanistan_Male_17"
14,"base","dalys",35991.5053260862,"Afghanistan_Male_17"
15,"base","dalys",36148.0890156772,"Afghanistan_Male_17"
16,"base","dalys",36304.5496672104,"Afghanistan_Male_17"
17,"base","dalys",36460.836600977,"Afghanistan_Male_17"
18,"base","dalys",36616.9064045368,"Afghanistan_Male_17"
19,"base","dalys",36772.7218693776,"Afghanistan_Male_17"
20,"base","dalys",36928.2511343373,"Afghanistan_Male_17"
21,"base","dalys",37083.4669745745,"Afghanistan_Male_17"
22,"base","dalys",37238.3461984642,"Afghanistan_Male_17"
23,"base","dalys",37392.8691285327,"Afghanistan_Male_17"
24,"base","dalys",37547.0191505883,"Afghanistan_Male_17"
25,"base","dalys",36602.7012815159,"Afghanistan_Male_17"
26,"base","dalys",36751.5990452821,"Afghanistan_Male_17"
27,"base","dalys",36900.1006241469,"Afghanistan_Male_17"
28,"base","dalys",37048.1984057799,"Afghanistan_Male_17"
29,"base","dalys",37195.8862580321,"Afghanistan_Male_17"
30,"base","dalys",37343.1593312689,"Afghanistan_Male_17"
31,"base","dalys",37490.0138854318,"Afghanistan_Male_17"
32,"base","dalys",37636.4471389079,"Afghanistan_Male_17"
33,"base","dalys",37782.4571366112,"Afghanistan_Male_17"
34,"base","dalys",37928.0426349662,"Afghanistan_Male_17"
35,"base","dalys",38073.2030017416,"Afghanistan_Male_17"
36,"base","dalys",38217.9381289107,"Afghanistan_Male_17"
37,"base","dalys",40910.2423662775,"Afghanistan_Male_17"
38,"base","dalys",40732.0090168867,"Afghanistan_Male_17"
39,"base","dalys",40581.0875389492,"Afghanistan_Male_17"
40,"base","dalys",40454.5491965253,"Afghanistan_Male_17"
41,"base","dalys",40349.9075530463,"Afghanistan_Male_17"
42,"base","dalys",40264.973334744,"Afghanistan_Male_17"
