"country","sex","age_init","discount_rate_annual","perc_start_bipolar_depression","perc_start_bipolar_manic","perc_suicide_depression","perc_suicide_anxiety","perc_suicide_bipolar","RR_suicide_depression","RR_suicide_bipolar","RR_suicide_anxiety","n_bipolar_episodes_annual_depression","n_bipolar_episodes_annual_manic","duration_bipolar_depression","duration_bipolar_manic","duration_depression","n_dep_episodes_lifetime","Pr_remission_anxiety","Pr_anx_ever_anx","Pr_dep_also_anx","Pr_develop_anxdep_same_time","Pr_anx_also_dep","daly_w_bip_eut","daly_w_bip_dep","daly_w_bip_man","daly_pr_dep_mod","daly_pr_dep_sev","daly_w_dep_mild","daly_w_dep_mod","daly_w_dep_sev","daly_pr_anx_mod","daly_pr_anx_sev","daly_w_anx_mild","daly_w_anx_mod","daly_w_anx_sev","OR_suicide_prevention_3mo","OR_suicide_prevention_12mo","Pr_receive_suicide_prevention","RR_suicide_after_self_harm_ages_10_to_17","RR_suicide_after_self_harm_ages_18_to_24","RR_suicide_follow_up_self_harm","Pr_hospitalized_self_harm","Pr_hospitalized_receive_prevention_self_harm","RR_anxiety_prevention_immediate","Pr_receive_anxiety_prevention","RR_depression_prevention_immediate","RR_depression_prevention_3mo","RR_depression_prevention_9mo","RR_depression_indicated_prevention_immediate","RR_depression_indicated_prevention_6mo","RR_anxdep_prevention_immediate","RR_anxdep_prevention_3mo","RR_anxdep_prevention_9mo","HR_bipolar_depression_treatment","Pr_receive_bipolar_treatment","Pr_receive_anxiety_treatment_any","Pr_receive_anxiety_treatment_internet","Pr_receive_anxiety_treatment_individual","Pr_receive_anxiety_treatment_group","OR_remission_anxiety_treatment_group","OR_remission_anxiety_treatment_individual","OR_remission_anxiety_treatment_internet","Pr_receive_depression_severe_treatment","OR_remission_depression_severe_treatment","Pr_receive_depression_mild_treatment_any","Pr_receive_depression_mild_treatment_internet","Pr_receive_depression_mild_treatment_individual","Pr_receive_depression_mild_treatment_group","RR_remission_depression_mild_treatment","RR_relapse_depression_treatment","val_of_health_mod","Pr_reduce_edu_adv_bipolar","Pr_reduce_emp_bipolar","Pr_reduce_productivity_bipolar","OR_not_finish_inter_depression","OR_not_finish_inter_anxiety","Pr_not_finish_inter_anxdep","Pr_miss_work_depression","presenteeism_to_absenteeism_ratio_depression","Pr_miss_work_anxiety","presenteeism_to_absenteeism_ratio_anxiety","Pr_reduce_productivity_anxdep"
"'Colombia'","'Female'",12.4878993376391,0.0380030182485079,0.278521296860696,0.198045538506225,0.490144668613116,0.083314126196153,0.0359200234847018,19.9401499102856,6.34948130707637,1.92392003592145,0.982984516064093,0.908076900260349,3.58418403955732,3.852715510049,7.79805633090015,5.52713734553557,0.00212237768473735,0.0223551254776179,0.454140869251098,0.193967557865519,0.573036502051907,0.0338326133774518,0.491002708028673,0.488243149670893,0.208660491234586,0.167677271180053,0.10624145614235,0.421169264153982,0.563334074807219,0.244329071427944,0.168395852441322,0.0333356004306277,0.144742018800463,0.393995555838656,1,1,0,41.9930720417026,18.8464723000933,0.102223586162395,0.422235633695684,0.247826856615562,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.936246733381703,0.279804486571957,0.116763047170437,0.599914924625773,1.90836359828651,1.28107322141654,0.391854085402187,0.059574192641755,7.94178330347328,0.0891126520279749,2.04148587314383,0.594332306980881
"'Sudan'","'Male'",14.9154985312605,0.0222209753026083,0.215455768398201,0.279737581841368,0.485163535994685,0.10110448913658,0.0374577046540778,17.5989942233477,3.99678617686511,2.13617555392379,0.871079992708368,0.94249527905367,5.19972618390039,4.80259025522897,8.03887168701795,7.77928554512767,0.00826609276193987,0.0344677671974846,0.370492471961008,0.211314478025603,0.516765555144124,0.0242591118361219,0.402018146358826,0.39203129614232,0.191742561306603,0.124873998994703,0.15429580450741,0.309502100114176,0.609885922196221,0.278591349135828,0.202483340405956,0.0289292903599558,0.112840092644983,0.50865142755764,1,1,0,65.9695108693362,17.9248157120632,0.0387577473186042,0.389843004790779,0.183675373505159,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.922586952099243,0.310466514511046,0.0897290798019656,0.0649579316982999,2.35086198488049,1.61208977310766,0.0154994259192332,0.0492105975752242,3.60433993977216,0.032238960513279,0.419468840870967,0.310264979539125
"'Argentina'","'Female'",10.7940960623091,0.0341409935899648,0.227769882125842,0.297545837328624,0.42966974717838,0.0475943372958207,0.0580080118032976,12.7522644692215,4.50231990632344,2.59146219094085,0.930035560061399,0.945454252753591,4.41492681655298,4.43152751447613,8.2001527586431,7.39878341973235,0.00836380068752485,0.0177151570000583,0.52513136614803,0.206593312587059,0.523603640568966,0.0325530655272107,0.403579680322623,0.491142859959175,0.194337563640862,0.134049158611735,0.116321248706599,0.411576472431627,0.754263673207462,0.246589269629737,0.194821078573436,0.0242564532019817,0.107374072965502,0.521693742579054,1,1,0,53.6329933543319,21.7605517490374,0.118795511348381,0.460695618267141,0.299678817050156,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.903596012076438,0.353436690305073,0.121033075042175,0.644266746549401,2.79855706594983,1.20257055042604,0.00496910196635125,0.0632837711075506,5.11424976113944,0.139658173074219,0.287608204908775,0.228489972173798
"'United Republic of Tanzania'","'Male'",11.429050875688,0.0138990837708074,0.236012870856116,0.190442223675828,0.388942997023612,0.0561846462947674,0.0429033743732814,9.83284448377311,5.09336956779976,2.77175069764197,0.963459946045212,0.956636554521652,4.78220018491146,2.54837390017815,7.34824576921875,7.14706074772227,0.00459450991437043,0.0276229273975459,0.484453384571876,0.193004083729507,0.352714218548313,0.0370510489026771,0.399730421478656,0.579301976202861,0.207129322816664,0.131237448879042,0.163927041238672,0.388311745846282,0.694071358271672,0.265056377340517,0.188898342917874,0.0307192084640682,0.129785088028285,0.612960739574943,1,1,0,39.6020238635229,23.389302657058,0.132622312485186,0.436591516121786,0.34284661900418,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.691819273553435,0.30394444570302,0.167769813183181,0.97163205337245,3.25264308374181,1.50078191834263,0.0087241813209825,0.0645079152024896,5.16445663034642,0.173148019326535,3.25577239553816,0.097484753686092
"'Iraq'","'Male'",19.9094870485133,0.0392300687116534,0.257820343527847,0.17539085687173,0.498130833481809,0.10285067803843,0.0307331556125015,19.5245844737136,5.4168203812111,2.74640370256798,1.0200896781901,0.890602489682871,4.05000185434978,3.77779976217428,7.91644612873148,7.91280037079542,0.00378506245327381,0.0333327866085189,0.37454602980665,0.188423393916899,0.544142727689689,0.0283841852282774,0.364860892038826,0.501195494212902,0.181311375842109,0.117505970012105,0.14188729960332,0.448639791526333,0.667542439691633,0.291385431848888,0.163702363160992,0.0229297044538507,0.139737540165381,0.563431834737715,1,1,0,53.4092978454819,16.2138398012801,0.159374088096264,0.453385248540003,0.383037167903968,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.972558916706083,0.257413462330269,0.155203381019138,0.920473109353334,3.78864554319465,1.33350222515314,0.115753643801749,0.0444564036945494,6.11931600382579,0.117531311234773,2.49441734778402,0.692635238703197
"'Afghanistan'","'Female'",10.4039254528936,0.0418374622283687,0.141432899701977,0.164578973933479,0.482190400161605,0.0976040263898787,0.0391571343016647,25.6727509619258,5.58906132202442,2.51007086091226,1.0294916612125,0.880254523506102,4.5409816698745,5.29262000358663,8.12633665059808,6.76668785442083,0.000696245893212812,0.0292417811332646,0.572650967519475,0.160260740453902,0.61483867013455,0.032895616144179,0.449601606810402,0.506914300465111,0.187893194346074,0.15192920455869,0.179461083547973,0.395402413257008,0.722142644878401,0.260809042273217,0.206162813772563,0.0287624895979078,0.128542808185572,0.522970757669612,1,1,0,32.0411305525852,20.1080021189626,0.0612985676648171,0.359682933451027,0.22128197105106,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.935266526460337,0.40575229638229,0.23676416898952,0.895424360744655,4.09045976649091,1.38665548720272,0.0185455774230136,0.0438592899555304,8.54839992308588,0.0703272193906398,1.07794715242722,0.540767046180119
"'United States of America'","'Male'",17.7511237455998,0.0222794363429436,0.20792492159859,0.219077803653586,0.460487793590749,0.07452988670984,0.0445708819499013,41.7780824878354,4.11293083242118,2.61118930770341,1.01572465271264,0.95017901392428,4.47749609985754,2.79742238692422,7.52190553792835,7.11416078639482,0.00816732445751988,0.0264221468441428,0.348579660907954,0.175479790996495,0.60646015199071,0.0343199195121654,0.393141809253588,0.496846378877279,0.192158320989485,0.150314154706354,0.12088558658314,0.458101596422317,0.594275304186006,0.299433145790179,0.188214565376115,0.0345764294783389,0.104536388297212,0.552411896119974,1,1,0,51.0516721046101,21.1322619300939,0.11472664857209,0.386825952136935,0.207607609760293,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.898594778552934,0.40253525650781,0.0651885333037032,0.836671451507136,1.88424521554386,1.36268983148856,0.230068526845194,0.0303861662074369,5.2365968166968,0.0488929463502726,0.723589614687725,0.252948953503021
"'Pakistan'","'Female'",15.2418984832475,0.0255439637816381,0.202147030188671,0.231326922743735,0.438041307467664,0.107329170743393,0.071059993059367,17.5439755148541,5.94586394024568,1.44991932423618,0.975303160956634,0.909871104293023,4.8832658739092,3.36486570821158,7.46871438890105,6.27481196692282,0.00426672354945189,0.014706539889397,0.409281862229591,0.176952860192654,0.421131432365042,0.0363399141760096,0.351997001186664,0.588568605515903,0.174405880782008,0.120262881292844,0.138613104282262,0.394619242586496,0.759859746127676,0.271063996506801,0.192546363388045,0.0315139919300831,0.142932677816754,0.516527890514158,1,1,0,79.6154721375342,31.9233263838616,0.0980865196526414,0.390459840417844,0.210220960325914,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.827809277006566,0.417731648642789,0.147187816455017,0.872324602217413,4.94711189694197,1.66505829578722,0.137064893227741,0.0548799354441723,7.39626208997126,0.0896031921822698,0.1608825261798,0.686529205106318
"'China'","'Female'",12.1255870916415,0.035008297366197,0.297662901930537,0.291540818414687,0.376376456616036,0.0804300703688537,0.0479003820217165,25.9435103554822,2.6683829753195,2.54232082668667,0.910468534181031,0.905089395809368,4.6853806818398,4.69009392157261,7.7106331839474,6.37324572027886,0.00397516672802147,0.0353478730587233,0.332427287829887,0.203549083627261,0.657236848011026,0.0318738888404796,0.376971520368859,0.542762448202089,0.225520470523289,0.16516262165018,0.129332261601495,0.443527714734866,0.528805986022179,0.284348303013887,0.186225096988692,0.0360782299694393,0.145741407157286,0.582471560879578,1,1,0,43.1860444187145,19.9808997970605,0.116388462827926,0.426951163367159,0.264421352830291,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.915283345126162,0.369273811603147,0.125852899198901,0.692658600884024,2.69875625363688,1.18271690493318,0.0743010748179708,0.0871114927668794,4.1015150180413,0.0673682426778167,1.90884113188932,0.405095983509611
"'Yemen'","'Female'",18.8755104354117,0.0365584948121745,0.276326456630321,0.277690231977718,0.506227887110214,0.0408766136002245,0.0383617157136846,24.1098273091814,5.75459209556041,1.695983297859,0.960691975868779,0.870852412656275,3.67329340011884,3.27188349767982,7.4433050361802,7.09485142320952,0.00124565443037041,0.0230469686875142,0.659591097939986,0.156082567100337,0.802906793057849,0.0302212832682472,0.457646650083637,0.413153130332976,0.2152714776885,0.0746767928602263,0.140702165610139,0.379215997134745,0.704003250490965,0.272669588134017,0.161579198074197,0.0318198803853993,0.122701914028904,0.532691538904037,1,1,0,34.6708308926496,27.3789674006433,0.0627253539806235,0.410301694422527,0.128492056488568,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0.870928436551549,0.343770068357421,0.184551370473918,0.606309728911147,0.639115211806532,1.3520014967625,0.0875346375009205,0.0961994328230505,6.45329416350719,0.0526362266342338,1.09894524387731,0.550912052540216
